"Attribute","obtained_from_publisher","export_to_ReTa","Type","comment",,,,,,
"ID","n","n","ID","necessary  to join different tablesn",,,,,,
"Paper_doi","y","y","ID",,,,,,,
"figure number","n","y","integer",,,,,,,
"figure_doi","n","n","ID",,,,,,,
"protocol_ID","n","n","ID","for example a protocols.io value",,,,,,
"Protocol_name","n","y","text","if the protocol has no external ID, state the name manually, otherwise derive the value from the protocol_ID",,,,,,
"authors","y","n","ID","use orcid id, separated with colons",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,"co"
